net,length_um
_118_\[28\],98.655
_02639_,98.235
_03356_,98.235
_02184_,98.115
_140_\[0\],97.9
_164_\[17\],97.835
_01243_,97.805
_03954_,97.78
clknet_leaf_69_clk,97.62
_04046_,97.58
_03636_,97.535
_128_\[26\],97.535
clknet_leaf_103_clk,97.4
_02684_,97.21
_179_\[7\],97.07
_06291_,97.045
_128_\[29\],96.82
clknet_leaf_51_clk,96.735
_03585_,96.515
_152_\[7\],96.2
_243_\[14\],96.11
_152_\[20\],95.955
_05554_,95.8
_02680_,95.59
_06167_,95.545
_164_\[26\],95.51
_06219_,95.465
_01617_,95.305
clknet_leaf_45_clk,95.165
_140_\[31\],94.975
clknet_leaf_111_clk,94.93
_06473_,94.775
_03376_,94.58
_04523_,94.495
clknet_leaf_10_clk,94.395
_03192_,94.19
_04006_,94.16
_182_\[26\],93.92
_152_\[3\],93.83
_152_\[30\],93.725
_02951_,93.7
_05896_,93.575
_02259_,93.44
_04303_,93.36
_126_\[10\],93.34
clknet_leaf_2_clk,93.175
_179_\[9\],93.13
clknet_leaf_26_clk,93.125
clknet_leaf_119_clk,93.105
_167_\[3\],93.065
_02625_,93.05
clknet_leaf_75_clk,93
_04060_,92.705
clknet_leaf_71_clk,92.7
_01823_,92.52
clknet_3_2_0_clk,92.45
_164_\[9\],92.43
_170_\[31\],92.29
_01246_,92.165
_03367_,92.1
_142_\[13\],92.02
_140_\[28\],91.97
_03976_,91.78
_02650_,91.31
_128_\[8\],91.1
_02445_,91.085
_02403_,90.905
_179_\[2\],90.875
clknet_leaf_46_clk,90.855
_05507_,90.8
_176_\[15\],90.73
_176_\[22\],90.655
clknet_leaf_50_clk,90.54
_01244_,90.47
_05499_,90.46
_140_\[22\],90.395
_182_\[0\],90.33
_01646_,90.31
clknet_leaf_65_clk,90.3
_01939_,90.2
clknet_leaf_41_clk,90.13
_234_\[24\],90.115
_02640_,90.095
_03537_,90.035
_03874_,90.025
_170_\[26\],89.975
_02651_,89.835
_03624_,89.815
_01276_,89.445
_06451_,89.41
_03279_,89.355
_142_\[9\],89.305
